"Tarih","Şimdi","Açılış","Yüksek","Düşük","Fark %"
"21.11.2019","5,6966","5,7027","5,7138","5,6830","-0,05%"
"19.11.2019","5,6990","5,7299","5,7422","5,6900","-0,66%"
"20.11.2019","5,6997","5,7021","5,7283","5,6856","0,01%"
"30.10.2019","5,7020","5,7348","5,7704","5,6925","-0,62%"
"01.11.2019","5,7124","5,7251","5,7525","5,7042","-0,01%"
"31.10.2019","5,7130","5,7072","5,7321","5,6974","0,19%"
"22.11.2019","5,7132","5,6890","5,7235","5,6840","0,29%"
"28.10.2019","5,7312","5,7767","5,7785","5,7140","-0,75%"
"18.11.2019","5,7369","5,7465","5,7566","5,7171","-0,15%"
"29.10.2019","5,7373","5,7332","5,7562","5,7145","0,11%"
"04.11.2019","5,7387","5,7065","5,7413","5,6750","0,46%"
"13.11.2019","5,7403","5,7746","5,7818","5,7280","-0,65%"
"02.12.2019","5,7415","5,7488","5,7663","5,7293","-0,10%"
"25.11.2019","5,7416","5,7246","5,7611","5,7034","0,50%"
"03.12.2019","5,7431","5,7395","5,7645","5,7241","0,03%"
"15.11.2019","5,7453","5,7451","5,7702","5,7330","-0,04%"
"29.11.2019","5,7470","5,7496","5,7669","5,7310","-0,20%"
"14.11.2019","5,7477","5,7421","5,7820","5,7351","0,13%"
"05.12.2019","5,7485","5,7459","5,7724","5,7364","-0,04%"
"04.12.2019","5,7508","5,7429","5,7611","5,7304","0,13%"
"06.11.2019","5,7508","5,7545","5,7752","5,7419","-0,04%"
"07.11.2019","5,7522","5,7521","5,7676","5,7306","0,02%"
"05.11.2019","5,7533","5,7382","5,7669","5,7145","0,25%"
"28.11.2019","5,7585","5,7795","5,7903","5,7536","-0,34%"
"26.11.2019","5,7597","5,7420","5,7736","5,7316","0,32%"
"08.11.2019","5,7668","5,7515","5,7712","5,7330","0,25%"
"11.11.2019","5,7733","5,7711","5,7987","5,7598","0,11%"
"06.12.2019","5,7766","5,7458","5,7898","5,7350","0,49%"
"12.11.2019","5,7776","5,7702","5,7823","5,7565","0,07%"
"27.11.2019","5,7779","5,7575","5,7914","5,7445","0,32%"
"12.12.2019","5,7914","5,8084","5,8122","5,7585","-0,28%"
"10.12.2019","5,8057","5,8104","5,8205","5,7865","-0,10%"
"11.12.2019","5,8074","5,8038","5,8188","5,7880","0,03%"
"13.12.2019","5,8082","5,7885","5,8264","5,7639","0,29%"
"09.12.2019","5,8113","5,7786","5,8201","5,7709","0,60%"
"16.12.2019","5,8498","5,8116","5,8625","5,8029","0,72%"
"16.01.2020","5,8597","5,8773","5,8963","5,8350","-0,27%"
"13.01.2020","5,8671","5,8839","5,8845","5,8509","-0,18%"
"09.01.2020","5,8739","5,9093","5,9306","5,8593","-0,60%"
"15.01.2020","5,8758","5,8815","5,9008","5,8654","-0,10%"
"10.01.2020","5,8777","5,8706","5,8966","5,8535","0,06%"
"14.01.2020","5,8819","5,8674","5,9036","5,8579","0,25%"
"17.12.2019","5,8860","5,8503","5,8930","5,8441","0,62%"
"17.01.2020","5,8908","5,8574","5,9106","5,8410","0,53%"
"08.01.2020","5,9091","5,9710","5,9881","5,8950","-1,06%"
"20.01.2020","5,9132","5,8810","5,9218","5,8810","0,38%"
"22.01.2020","5,9222","5,9405","5,9478","5,9150","-0,26%"
"18.12.2019","5,9261","5,8866","5,9345","5,8852","0,68%"
"26.12.2019","5,9335","5,9344","5,9479","5,9289","-0,03%"
"23.01.2020","5,9344","5,9220","5,9495","5,8994","0,21%"
"25.12.2019","5,9350","5,9459","5,9488","5,9260","-0,20%"
"21.01.2020","5,9376","5,9121","5,9416","5,9107","0,41%"
"24.01.2020","5,9391","5,9314","5,9478","5,9170","0,08%"
"20.12.2019","5,9400","5,9424","5,9469","5,8994","-0,03%"
"28.01.2020","5,9403","5,9422","5,9537","5,9260","-0,06%"
"19.12.2019","5,9417","5,9260","5,9475","5,8987","0,26%"
"27.01.2020","5,9440","5,9392","5,9574","5,9290","0,08%"
"01.01.2020","5,9466","5,9461","5,9491","5,9375","-0,04%"
"24.12.2019","5,9468","5,9474","5,9564","5,9250","-0,03%"
"30.12.2019","5,9479","5,9521","5,9540","5,9348","-0,04%"
"23.12.2019","5,9486","5,9393","5,9513","5,9135","0,14%"
"31.12.2019","5,9489","5,9451","5,9521","5,9369","0,02%"
"27.12.2019","5,9502","5,9261","5,9604","5,9220","0,28%"
"02.01.2020","5,9566","5,9458","5,9615","5,9415","0,17%"
